Player Name,Category,Country, Base Price 
Mitchell Santner,All-rounder, New Zealand,20000000
Jayant Yadav,All-rounder, India,7500000
Fazalhaq Farooqi,Fast Bowler, Afghanistan,20000000
Kwena Maphaka,Fast Bowler, South Africa,7500000
Kuldeep Sen,Fast Bowler, India,7500000
Reece Topley,Fast Bowler, England,7500000
Lizaad Williams,Fast Bowler, South Africa,7500000
Priyansh Arya,All-rounder, India,3000000
Manoj Bhandage,All-rounder, India,3000000
Praveen Dubey,All-rounder, India,3000000
Ajay Mandal,All-rounder, India,3000000
Vipraj Nigam,All-rounder, India,3000000
Krishnan Shrijith,All-rounder, India,3000000
Jacob Bethell,All-rounder, England,12500000
Brydon Carse,All-rounder, England,10000000
Aaron Hardie,All-rounder, Australia,12500000
Kamindu Mendis,All-rounder, Sri Lanka,7500000
Dushmantha Chameera,Fast Bowler, Sri Lanka,7500000
Nathan Ellis,Fast Bowler, Australia,10000000
Shamar Joseph,Fast Bowler, West Indies,7500000
Aniket Verma,Batsman, India,3000000
Raj Angad Bawa,All-rounder, India,3000000
Musheer Khan,All-rounder, India,3000000
{{Manvanth Kumar L,All-rounder, India,3000000
Suryansh Shedge,All-rounder, India,3000000
Kulwant Khejroliya,Fast Bowler, India,3000000
Prince Yadav,All-rounder, India,3000000
Jamie Overton,All-rounder, England,15000000
Xavier Bartlett,Fast Bowler, Australia,7500000
Lungi Ngidi,Fast Bowler, South Africa,3000000
Yuvraj Chaudhary,All-rounder, India,3000000
Kamlesh Nagarkoti,All-rounder, India,3000000
Karim Janat,All-rounder, Afghanistan,3000000
Pyla Avinash,Batsman, India,3000000
Ramakrishna Ghosh,All-rounder, India,3000000
Bevon Jacobs,Batsman, New Zealand,3000000
Vaibhav Sooryavanshi,Batsman, India,3000000
Eshan Malinga,Fast Bowler, Sri Lanka,3000000
Tripurana Vijay,All-rounder, India,3000000
Madhav Tiwari,All-rounder, India,3000000
Vignesh Puthur,All-rounder, India,3000000
Allah Mohammad Ghazanfar,Spin Bowler,Afghanistan,3000000
Brydon Carse,Fast Bowler,South Africa,3000000
Lizaad Williams,Fast Bowler,South Africa,3000000
Harry Brook,Batsman,England,10000000
Umran Malik,Fast Bowler,India,7500000
Mohsin Khan,Fast Bowler,India,5000000
Ruturaj Gaikwad,Batsman,India,20000000
Glenn Phillips,All-rounder,New Zealand,20000000
Lockie Ferguson,Fast Bowler,New Zealand,20000000
Adam Zampa,Spin Bowler,New Zealand,20000000
Gurjapneet Singh,Fast Bowler,India,7500000
Vignesh Puthur,Spin Bowler,India,7500000
Glenn Maxwell,All-rounder,Australia,20000000
Vansh Bedi,Wicket-keeper,India,3000000
Devdutt Padikkal,Batsman,India,10000000
Nitish Rana,Batsman,India,10000000
Sandeep Sharma,Fast Bowler,India,10000000
Jake Fraser-McGurk,Batsman,Australia,10000000
Jos Buttler,Batsman,England,20000000
Mayank Yadav,Fast Bowler,India,5000000
Rovman Powell,Batsman,West Indies,7500000
Lungi Ngidi,Fast Bowler,South Africa,10000000
Will Jacks,All-rounder,England,7500000
Ryan Rickelton,Wicket-keeper,South Africa,7500000
Corbin Bosch,All-rounder,South Africa,3000000
Jacob Bethell,All-rounder,England,3000000
Mujeeb Ur Rahman,Spin Bowler,Afghanistan,7500000
Chetan Sakariya,Fast Bowler,India,5000000
Shardul Thakur,Fast Bowler,India,10000000
Ayush Mhatre,Batsman,India,5000000
Dasun Shanaka,All-rounder,Sri Lanka,5000000
Kyle Jamieson,Fast Bowler,New Zealand,10000000
Dewald Brevis,Batsman,South Africa,10000000
Mitchell Owen,Batsman,Australia,3000000
Urvil Patel,Wicket-keeper,India,5000000
Harsh Dubey,Spin Bowler,India,3000000
Mayank Agarwal,Batsman,India,7500000
Lhuan-dre Pretorius,Wicket-keeper,South Africa,3000000
Nandre Burger,Fast Bowler,South Africa,5000000
Mustafizur Rahman,Fast Bowler,Bangladesh,7500000
Kusal Mendis,Wicket-keeper,Sri Lanka,7500000
Will O'Rourke,Fast Bowler,New Zealand,10000000
Jonny Bairstow,Wicket-keeper,England,15000000
Richard Gleeson,Fast Bowler,England,5000000
Charith Asalanka,All-rounder,Sri Lanka,5000000
Tim Seifert,Wicket-keeper,New Zealand,15000000
Ravindra Jadeja,All-rounder, India,40000000
Matheesha Pathirana,Fast Bowler, Sri Lanka,15000000
Shivam Dube,All-rounder, India,25000000
MS Dhoni,Wicket-keeper, India,40000000
Axar Patel,All-rounder, India,20000000
Kuldeep Yadav,Spin Bowler, India,20000000
Tristan Stubbs,Wicket-keeper, South Africa,20000000
Abhishek Porel,Wicket-keeper, India,10000000
Rashid Khan,Spin Bowler, Afghanistan,20000000
Shubman Gill,Batsman, India,20000000
Sai Sudharsan,Batsman, India,20000000
Rahul Tewatia,All-rounder, India,20000000
Shahrukh Khan,Batsman, India,15000000
Rinku Singh,Batsman, India,20000000
Varun Chakravarthy,Spin Bowler, India,20000000
Sunil Narine,All-rounder, West Indies,20000000
Andre Russell,All-rounder, West Indies,20000000
Ramandeep Singh,All-rounder, India,10000000
Harshit Rana,Fast Bowler, India,20000000
Nicholas Pooran,Batsman, West Indies,20000000
Ravi Bishnoi,Spin Bowler, India,20000000
Mayank Yadav,Fast Bowler, India,10000000
Mohsin Khan,Fast Bowler, India,10000000
Ayush Badoni,Spin Bowler, India,10000000
Jasprit Bumrah,Fast Bowler, India,40000000
Suryakumar Yadav,Batsman, India,40000000
Hardik Pandya,All-rounder, India,40000000
Rohit Sharma,Batsman, India,40000000
Tilak Varma,Batsman, India,20000000
Shashank Singh,Batsman, India,20000000
Prabhsimran Singh,Wicket-keeper, India,20000000
Sanju Samson,Wicket-keeper, India,20000000
Yashasvi Jaiswal,Batsman, India,20000000
Dhruv Jurel,Wicket-keeper, India,20000000
